TreeID,TreeForm,Girth_cm,Stems,HeightGirth_cm,Estimated,Date
1280,maiden,406,NULL,NA,NULL,"2007-2015
"
1280,maiden,406,1,130,0,"2016-2019
"
1281,maiden,72,NULL,NA,NULL,"2007-2015
"
1281,maiden,70,1,130,0,"2016-2019
"
1282,maiden,158,1,130,0,"2016-2019
"
1283,maiden,121,1,130,0,"2016-2019
"
1284,maiden,101,NULL,NA,NULL,"2007-2015
"
1284,maiden,109,1,130,0,"2016-2019
"
1285,maiden,161,NULL,NA,NULL,"2007-2015
"
1285,maiden,176,1,130,0,"2016-2019
"
1286,maiden,124,NULL,NA,NULL,"2007-2015
"
1286,maiden,133,1,130,0,"2016-2019
"
1287,maiden,68,NULL,NA,NULL,"2007-2015
"
1287,maiden,70,1,130,0,"2016-2019
"
1288,maiden,104,NULL,NA,NULL,"2007-2015
"
1288,maiden,114,1,130,0,"2016-2019
"
1289,maiden,71,NULL,NA,NULL,"2007-2015
"
1289,maiden,77,1,130,0,"2016-2019
"
1290,maiden,47,NULL,NA,NULL,"2007-2015
"
1290,maiden,53,1,130,0,"2016-2019
"
1291,maiden,107,NULL,NA,NULL,"2007-2015
"
1291,maiden,120,1,130,0,"2016-2019
"
1292,maiden,136,NULL,NA,NULL,"2007-2015
"
1292,maiden,142,1,130,0,"2016-2019
"
1293,maiden,92,NULL,NA,NULL,"2007-2015
"
1293,maiden,94,1,130,0,"2016-2019
"
1294,maiden,126,NULL,NA,NULL,"2007-2015
"
1294,maiden,136,1,130,0,"2016-2019
"
1297,maiden,101,NULL,NA,NULL,"2007-2015
"
1297,maiden,106,1,130,0,"2016-2019
"
1298,maiden,41,NULL,NA,NULL,"2007-2015
"
1298,maiden,46,1,130,0,"2016-2019
"
1299,maiden,95,NULL,NA,NULL,"2007-2015
"
1299,maiden,94,1,130,0,"2016-2019
"
1300,maiden,110,NULL,NA,NULL,"2007-2015
"
1300,maiden,118,1,130,0,"2016-2019
"
1301,maiden,121,1,130,0,"2016-2019
"
1302,maiden,128,1,130,0,"2016-2019
"
1303,maiden,73,NULL,NA,NULL,"2007-2015
"
1303,maiden,72,1,130,0,"2016-2019
"
1304,maiden,151,NULL,NA,NULL,"2007-2015
"
1304,maiden,162,1,130,0,"2016-2019
"
1305,maiden,58,NULL,NA,NULL,"2007-2015
"
1305,maiden,62,1,130,0,"2016-2019
"
1306,maiden,37,NULL,NA,NULL,"2007-2015
"
1306,maiden,38,1,130,0,"2016-2019
"
1307,maiden,35,NULL,NA,NULL,"2007-2015
"
1307,maiden,39,1,130,0,"2016-2019
"
1308,maiden,71,NULL,NA,NULL,"2007-2015
"
1308,maiden,179,1,130,0,"2016-2019
"
1309,maiden,96,NULL,NA,NULL,"2007-2015
"
1309,maiden,102,1,130,0,"2016-2019
"
1310,maiden,60,NULL,NA,NULL,"2007-2015
"
1310,maiden,64,1,130,0,"2016-2019
"
1311,maiden,51,NULL,NA,NULL,"2007-2015
"
1311,maiden,53,1,130,0,"2016-2019
"
1312,maiden,46,NULL,NA,NULL,"2007-2015
"
1312,maiden,63,1,130,0,"2016-2019
"
1313,maiden,69,NULL,NA,NULL,"2007-2015
"
1313,maiden,80,1,130,0,"2016-2019
"
1314,maiden,49,NULL,NA,NULL,"2007-2015
"
1314,maiden,64,1,130,0,"2016-2019
"
1315,maiden,253,NULL,NA,NULL,"2007-2015
"
1315,maiden,259,1,130,0,"2016-2019
"
1316,maiden,113,NULL,NA,NULL,"2007-2015
"
1317,maiden,210,NULL,NA,NULL,"2007-2015
"
1318,maiden,264,1,130,0,"2016-2019
"
1319,maiden,122,1,130,0,"2016-2019
"
1320,multistem,284,NULL,NA,NULL,"2007-2015
"
1320,multistem,441,2,130,0,"2016-2019
"
1322,multistem,171,NULL,NA,NULL,"2007-2015
"
1322,multistem,250,2,130,0,"2016-2019
"
1323,multistem,107,NULL,NA,NULL,"2007-2015
"
1323,multistem,162,2,130,0,"2016-2019
"
1324,maiden,211,NULL,NA,NULL,"2007-2015
"
1324,maiden,240,1,130,0,"2016-2019
"
1325,maiden,201,NULL,NA,NULL,"2007-2015
"
1325,maiden,226,1,130,0,"2016-2019
"
1326,maiden,276,NULL,NA,NULL,"2007-2015
"
1327,maiden,320,NULL,NA,NULL,"2007-2015
"
1327,maiden,340,1,130,0,"2016-2019
"
1328,maiden,143,NULL,NA,NULL,"2007-2015
"
1329,maiden,55,NULL,NA,NULL,"2007-2015
"
1329,maiden,56,1,130,0,"2016-2019
"
1330,maiden,239,1,130,0,"2016-2019
"
1331,maiden,115,NULL,NA,NULL,"2007-2015
"
1331,maiden,132,1,130,0,"2016-2019
"
1332,maiden,79,NULL,NA,NULL,"2007-2015
"
1333,maiden,105,NULL,NA,NULL,"2007-2015
"
1333,maiden,114,1,130,0,"2016-2019
"
1334,maiden,55,NULL,NA,NULL,"2007-2015
"
1335,maiden,56,NULL,NA,NULL,"2007-2015
"
1335,maiden,53,1,130,0,"2016-2019
"
1336,maiden,108,NULL,NA,NULL,"2007-2015
"
1337,maiden,78,NULL,NA,NULL,"2007-2015
"
1339,maiden,103,NULL,NA,NULL,"2007-2015
"
1339,maiden,106,1,130,0,"2016-2019
"
1340,maiden,74,NULL,NA,NULL,"2007-2015
"
1341,maiden,109,NULL,NA,NULL,"2007-2015
"
1342,maiden,52,NULL,NA,NULL,"2007-2015
"
1343,maiden,97,NULL,NA,NULL,"2007-2015
"
1344,maiden,60,NULL,NA,NULL,"2007-2015
"
1344,maiden,60,1,130,0,"2016-2019
"
1346,maiden,100,NULL,NA,NULL,"2007-2015
"
1347,maiden,70,NULL,NA,NULL,"2007-2015
"
1348,maiden,97,NULL,NA,NULL,"2007-2015
"
1349,maiden,112,NULL,NA,NULL,"2007-2015
"
1349,maiden,124,1,130,0,"2016-2019
"
1350,maiden,77,NULL,NA,NULL,"2007-2015
"
1350,maiden,84,1,130,0,"2016-2019
"
1351,maiden,29,1,130,0,"2016-2019
"
1352,maiden,62,1,130,0,"2016-2019
"
1353,maiden,39,NULL,NA,NULL,"2007-2015
"
1354,maiden,65,NULL,NA,NULL,"2007-2015
"
1355,maiden,111,NULL,NA,NULL,"2007-2015
"
1356,maiden,48,NULL,NA,NULL,"2007-2015
"
1356,maiden,50,1,130,0,"2016-2019
"
1357,maiden,77,NULL,NA,NULL,"2007-2015
"
