"group_id","logistic.R2","logistic.AICc","gompertz.R2","gompertz.AICc","quad.R2","quad.AICc","cubic.R2","cubic.AICc","Akaike_weight_logistic","Akaike_weight_gompertz","Akaike_weight_quad","Akaike_weight_cubic","PopBio_units","Temp"
75,0.979559285890916,-5.60687787064993,0.493468944240253,50.1176694477402,0.637662689396255,40.3938721077703,0.766568079040271,37.7225468764987,0.999999999506563,7.9353903739563e-13,1.02580322539097e-10,3.90063186185499e-10,"OD_595",35
76,0.777516671059153,31.3910484782277,NA,Inf,0.594681544682121,40.988182796043,0.759562567454084,36.996408478257,0.93555096323131,0,0.00771038762802834,0.0567386491406618,"OD_595",35
77,0.985597946646653,-17.1227178464122,0.376720203826167,44.0583198992824,0.695668859012188,28.6384661196581,0.856360659025496,22.0429706839415,0.999999996756227,5.18449492338864e-14,1.15633895814785e-10,3.12808679020006e-09,"OD_595",35
78,0.970210029400028,-11.6788951358905,-0.176382065415558,51.5011761307333,0.622283095461293,28.9606761508994,0.835001344079896,20.0729899975573,0.999999871104051,1.90819074596449e-14,1.49702538816459e-09,1.27398904133927e-07,"OD_595",35
79,0.991975584170669,-19.5726427900334,0.525220368357125,57.796948161814,0.220730330728998,62.7929863777644,0.375575080732481,62.7285941735422,1,1.58272984306797e-17,1.30175986331e-18,1.34435345127344e-18,"OD_595",35
80,0.942893640801821,20.271852458386,0.347315854681131,68.0461304019888,0.252058471985068,66.575220287863,0.496126434785629,63.3883074729963,0.999999999435671,4.22617382476522e-11,8.81762101664082e-11,4.33891111760072e-10,"OD_595",35
81,0.746420404014473,31.1699330533982,NA,Inf,0.624895349825835,37.4343697304166,0.784712074706041,32.9143463414163,0.68415877508186,0,0.0298436378416561,0.285997587076484,"OD_595",35
82,0.93114653455644,25.8041638482508,0.10039710232538,73.614914997501,0.289901063987448,65.472367592748,0.557315958984539,61.5602634259097,0.999999980320132,4.14980119646763e-11,2.43309459983892e-09,1.72052750961723e-08,"OD_595",35
83,0.776319024106743,38.6599913060388,-0.0341928187837035,70.1438707258438,0.20149981629227,61.5652500701888,0.481959418774053,57.7000578981531,0.999915872679257,1.45655172528082e-07,1.06206162881536e-05,7.33610492828687e-05,"OD_595",35
84,0.961679280772459,-6.29202916839178,0.190389046523861,44.1330840885823,0.472349272401425,33.0446284637886,0.680834587730816,30.170419201866,0.999999985031051,1.12286042395463e-11,2.87179424207297e-09,1.20859260207234e-08,"OD_595",35
85,0.956033339838611,7.16877499382108,0.318551574581269,52.9472758676089,0.62712001706202,39.2361497419897,0.794656755889424,34.9542114211435,0.999998965381522,1.14636888815303e-10,1.08807191245397e-07,9.25696649521016e-07,"OD_595",35
86,0.978513376871537,-4.98093955440683,0.897650662724352,27.0394403290988,0.250092033914989,58.9644191079444,0.416487024953794,58.3715876480933,0.999999888605711,1.11394258180477e-07,1.30149272970367e-14,1.75054573741594e-14,"OD_595",35
87,0.949789456491156,15.1714759068752,0.439531442872955,60.3060058698256,0.626803055217909,49.271457117697,0.756043704319616,46.1656770223305,0.999999774383315,1.58183524882113e-10,3.93806668156782e-08,1.86077834940479e-07,"OD_595",35
88,0.990348941799028,-15.5963747938723,-0.0619945737559846,68.4390582499676,0.594177876165312,47.9640306235465,0.766567002182468,42.6839051879562,0.999999999999763,5.64855773802962e-19,1.57773234779756e-14,2.2110471304719e-13,"OD_595",35
89,0.81367697067263,38.4592169177675,0.918685857431726,36.6717690494415,0.797777652609773,39.3599622304755,0.831731021372512,44.6714509107351,0.242343174844888,0.592338779378665,0.154467256702826,0.0108507890736211,"N",5
90,0.829660317253547,37.4141892383729,0.910763197945549,37.6360110915076,0.815507822230267,38.2921266111137,0.83495652548564,44.4000803541852,0.389085286586566,0.348238517023118,0.250843660601599,0.0118325357887166,"N",5
91,0.903511895424176,24.1769989044486,0.952835312817252,23.6368152411085,0.895669523282639,25.0365805910273,0.915898977848111,29.9989211146746,0.331658093160681,0.434500210886438,0.215791735509455,0.0180499604434261,"N",5
