"","TreeID","Girth_cm","Score"
"1206",868,92,3.33333333333333
"1207",1000,92,3.40909090909091
"1208",1001,92,3.33333333333333
"1209",1013,92,3.81818181818182
"1210",1110,92,3.94444444444444
"1211",1293,92,3.85714285714286
"1212",1369,92,3.91304347826087
"1213",1506,92,3.75806451612903
"1214",1537,92,3.75
"1215",1540,92,3.72
"1216",1612,92,3.34210526315789
"1217",1867,92,3.35714285714286
"1218",2232,92,3.84
"1219",2471,92,4.13333333333333
"1220",2474,92,4.0625
"1221",2554,92,3.75
"1222",256,93,3.8
"1223",296,93,3.31578947368421
"1224",472,93,3.04761904761905
"1225",485,93,4.35294117647059
"1226",581,93,3.60975609756098
"1227",649,93,4.11111111111111
"1228",682,93,3.55555555555556
"1229",854,93,3.80952380952381
"1230",937,93,3.83720930232558
"1231",948,93,3.25
"1232",969,93,3.5625
"1233",979,93,3.70588235294118
"1234",1166,93,4
"1235",1666,93,3.64
"1236",1815,93,3
"1237",1903,93,3.8
"1238",1941,93,3.27777777777778
"1239",2669,93,3.5
"1240",92,94,3.16923076923077
"1241",98,94,3.41666666666667
"1242",446,94,3.57692307692308
"1243",511,94,4.75757575757576
"1244",551,94,3.60869565217391
"1245",682,94,3.41666666666667
"1246",767,94,3.5
"1247",917,94,3.72727272727273
"1248",943,94,3.40909090909091
"1249",972,94,3.41176470588235
"1250",1000,94,4.44444444444444
"1251",1784,94,3.5
"1252",2037,94,3.73333333333333
"1253",2055,94,3.73333333333333
"1254",2259,94,3.82352941176471
"1255",2294,94,3.76470588235294
"1256",2470,94,3.64285714285714
"1257",2515,94,3.92307692307692
"1258",71,95,3.79166666666667
"1259",88,95,1.625
"1260",367,95,3.53846153846154
"1261",383,95,3.28571428571429
"1262",864,95,3.64705882352941
"1263",924,95,3.65217391304348
"1264",1026,95,3.75
"1265",1176,95,3.83333333333333
"1266",1299,95,3.58823529411765
"1267",1414,95,3.61538461538462
"1268",1511,95,4.13636363636364
"1269",1734,95,4
"1270",1780,95,3.1875
"1271",1787,95,3.60869565217391
"1272",1817,95,3.53333333333333
"1273",1897,95,3.58333333333333
"1274",1909,95,2.875
"1275",2039,95,3.57142857142857
"1276",2141,95,3.86666666666667
"1277",2156,95,3.23076923076923
"1278",2197,95,3.2
"1279",2265,95,3.84615384615385
"1280",2302,95,3.86666666666667
"1281",2348,95,3.78571428571429
"1282",2475,95,4.48484848484848
"1283",2518,95,4.1
"1284",2520,95,4.1875
"1285",2649,95,4.41176470588235
"1286",699,96,3.86363636363636
"1287",862,96,4.7
"1288",888,96,3.96
"1289",1128,96,4.35714285714286
"1290",1260,96,3.63934426229508
"1291",1309,96,3.1304347826087
"1292",1779,96,3.76923076923077
"1293",1879,96,3.8125
"1294",1929,96,3.94736842105263
"1295",2517,96,3.92857142857143
"1296",2530,96,4.25
"1297",108,97,3.84210526315789
"1298",312,97,3
"1299",639,97,4.07317073170732
"1300",649,97,3.54545454545455
"1301",986,97,3.41176470588235
"1302",1128,97,3.71428571428571
"1303",1343,97,3.80952380952381
"1304",1348,97,3.59090909090909
"1305",1466,97,4.63414634146341
"1306",1515,97,3.89285714285714
"1307",1520,97,3.92857142857143
"1308",1531,97,4.025
"1309",1597,97,3.6
"1310",1674,97,4.45238095238095
"1311",1701,97,3.41666666666667
"1312",1806,97,3.375
"1313",1842,97,3.17647058823529
"1314",1937,97,3.64705882352941
"1315",1954,97,3.44444444444444
"1316",2000,97,3.375
"1317",2145,97,3.47058823529412
"1318",2161,97,3.76470588235294
"1319",2229,97,3.375
"1320",2269,97,3.75
"1321",2507,97,3.6
"1322",2613,97,4
"1323",161,98,3.8
"1324",310,98,3.4
"1325",357,98,3.875
"1326",536,98,3.73076923076923
