"TreeID","Girth_cm","JulianDate"
444,88,119
445,174,NA
446,94,113
447,118,113
452,44,114
453,325,114
454,114,NA
455,154,NA
458,243,116
460,85,NA
461,101,116
462,92,NA
464,104,114
465,52,114
466,78,NA
467,114,114
468,82,114
469,39,NA
470,105,114
471,132,NA
472,93,116
474,210,NA
475,113,118
476,88,NA
480,280,114
481,267,114
482,181,NA
483,178,NA
484,29,118
485,84,116
487,141,NA
488,52,114
489,32,NA
491,73,114
492,36,122
495,68,120
497,135,NA
498,89,114
499,209,NA
501,168,NA
503,80,NA
505,68,NA
506,43,NA
508,104,114
509,81,NA
510,116,114
512,258,NA
513,272,120
514,172,NA
515,199,114
517,61,NA
518,183,118
519,125,NA
520,163,114
521,451,114
522,111,116
523,188,114
524,193,114
525,172,114
526,107,118
527,206,114
528,172,116
529,178,114
530,130,116
531,221,120
532,69,118
533,25,NA
534,87,NA
535,25,114
536,98,NA
537,31,NA
538,29,NA
541,74,114
542,27,118
543,65,114
544,20,118
545,22,122
546,48,118
547,73,NA
548,47,NA
549,48,NA
550,100,NA
551,94,114
552,52,NA
554,128,122
555,45,NA
556,48,NA
557,20,NA
558,250,118
559,86,118
560,57,114
561,63,114
562,51,NA
563,20,NA
564,233,NA
566,27,NA
567,61,NA
568,156,NA
569,27,NA
570,181,114
571,150,114
572,125,NA
573,370,116
574,544,114
575,491,116
576,465,NA
577,246,116
578,472,NA
579,66,118
580,106,120
581,138,120
582,70,106
583,111,118
584,128,114
585,247,114
586,86,114
587,119,NA
588,91,NA
589,155,NA
590,511,114
591,62,114
592,145,NA
593,108,114
594,67,114
595,50,124
596,31,NA
597,138,114
598,137,116
599,114,116
600,147,116
601,105,118
602,149,114
603,306,114
604,478,114
605,321,NA
606,118,NA
607,99,120
608,75,NA
609,241,NA
612,194,NA
613,140,115
614,87,NA
615,65,NA
616,179,NA
617,179,109
618,190,NA
619,28,NA
620,22,NA
621,37,127
622,92,NA
623,69,NA
624,164,119
626,66,NA
627,136,NA
628,75,NA
629,127,NA
630,81,NA
631,24,NA
632,92,NA
633,115,NA
634,146,NA
635,154,NA
636,187,NA
637,110,NA
638,152,121
639,89,NA
640,178,109
641,120,NA
642,64,NA
643,120,NA
644,211,119
645,71,119
646,62,121
647,127,NA
648,154,NA
649,97,NA
650,84,121
651,157,NA
652,174,NA
653,102,NA
654,57,121
656,77,NA
657,155,NA
658,113,NA
660,230,NA
661,175,NA
662,103,NA
663,102,NA
664,98,NA
665,140,117
666,105,117
667,122,NA
668,110,NA
669,117,NA
670,72,NA
671,38,119
672,160,NA
673,192,NA
674,131,NA
675,145,NA
676,141,NA
677,51,121
678,78,NA
679,74,NA
680,106,121
681,148,NA
682,94,NA
683,100,NA
684,165,NA
685,92,NA
686,72,NA
687,152,NA
688,80,NA
689,92,NA
690,128,113
691,84,NA
692,58,119
693,64,115
694,141,NA
695,134,NA
696,40,NA
697,83,NA
698,37,117
699,96,NA
700,66,115
701,81,NA
702,80,NA
703,119,121
704,138,NA
706,256,NA
707,76,NA
708,128,NA
709,104,113
710,123,NA
711,74,NA
713,72,115
715,146,NA
716,125,NA
717,141,NA
718,91,NA
719,128,NA
720,99,NA
721,46,NA
722,55,115
723,31,117
724,124,115
725,136,115
727,73,127
728,58,113
729,58,115
730,210,113
731,56,NA
732,68,NA
733,102,115
734,108,113
735,149,113
736,108,117
737,88,NA
738,85,113
741,80,117
742,111,113
743,50,121
744,107,117
745,124,113
746,41,NA
747,57,NA
749,64,113
750,64,113
752,400,113
753,57,113
754,90,NA
755,113,113
756,125,115
757,55,123
759,54,113
760,398,NA
761,147,113
762,161,NA
763,75,121
764,149,NA
765,260,NA
766,258,NA
767,94,113
768,53,NA
769,92,113
770,138,113
771,126,113
772,133,113
773,158,113
774,158,113
775,193,113
776,107,113
777,106,NA
778,115,113
779,88,113
780,116,113
782,79,113
783,179,NA
784,59,NA
786,144,113
787,40,117
788,41,NA
789,177,109
790,103,NA
791,390,113
792,90,113
794,56,NA
795,144,113
796,39,121
797,420,115
798,38,113
799,56,NA
800,178,113
801,107,113
802,41,119
803,76,113
804,99,113
805,133,NA
806,280,113
807,61,117
808,385,113
809,120,113
810,143,113
811,164,NA
812,201,109
813,175,109
817,295,113
818,233,NA
827,131,116
828,59,114
829,155,NA
842,185,NA
843,169,NA
844,234,NA
854,93,NA
856,137,NA
857,155,NA
869,79,118
870,38,118
871,57,118
872,130,114
873,57,NA
874,50,118
875,83,122
877,82,112
878,120,112
879,53,120
880,99,NA
881,70,NA
882,104,NA
883,66,112
884,45,NA
885,74,NA
886,83,120
887,60,NA
888,96,NA
889,425,112
890,84,114
891,68,118
892,115,NA
893,60,120
894,163,NA
895,109,NA
896,216,112
897,73,NA
898,202,NA
899,20,NA
908,400,113
910,107,NA
911,167,109
912,163,119
913,208,109
914,165,NA
915,109,NA
916,109,NA
917,94,NA
918,84,125
919,109,115
920,170,NA
921,120,NA
922,127,NA
923,91,NA
924,95,NA
925,111,NA
928,175,112
930,98,114
931,79,118
932,68,118
933,213,NA
934,74,NA
935,213,NA
936,58,118
937,83,NA
938,103,122
940,46,NA
941,52,122
942,85,NA
943,94,NA
944,203,118
945,231,NA
946,50,NA
947,37,120
948,93,120
949,24,120
952,162,118
953,189,114
956,363,116
957,151,NA
958,320,114
962,210,NA
970,249,119
973,220,NA
974,187,117
983,100,119
987,90,114
991,160,116
993,183,112
994,82,122
995,81,NA
996,65,118
997,64,NA
998,80,NA
999,99,NA
1000,92,118
1001,92,NA
1002,63,118
1003,130,112
1004,141,114
1005,147,116
1006,176,114
1007,89,120
1008,87,112
1009,99,116
1010,119,116
